Gene	SG1	SG2	SG3
AT1G02820	53.046875	4.921875	42.03125
AT1G02850	83.20395201	15.38461538	1.411432604
AT1G02860	32.25806452	38.14041746	29.60151803
AT1G02870	40.7960199	26.99004975	32.21393035
AT1G02880	51.56445557	37.04630788	11.38923655
AT1G02890	34.90566038	40.18867925	24.90566038
AT1G02910	34.96659243	20.93541203	44.09799555
AT1G02930	49.70738844	29.33430871	20.95830285
AT1G02960	13.93939394	69.6969697	16.36363636
AT1G02990	28.47682119	31.78807947	39.73509934
AT1G03080	32.58928571	36.30952381	31.10119048
AT1G03090	32.19512195	44.11585366	23.68902439
AT1G03110	22.98850575	33.33333333	43.67816092
AT1G03130	8.568565225	25.47185569	65.95957909
AT1G03150	32.44274809	34.73282443	32.82442748
AT1G03160	51.86385737	20.25931929	27.87682334
AT1G03190	45.83333333	22.91666667	31.25
AT1G03250	38.1443299	41.49484536	20.36082474
AT1G03260	23.75	31.25	45
AT1G03280	29.14046122	38.36477987	32.49475891
AT1G03290	39.17274939	36.25304136	24.57420925
AT1G03380	28.26086957	32.60869565	39.13043478
AT1G03430	22.32142857	10.71428571	66.96428571
AT1G03440	34.35483871	31.77419355	33.87096774
AT1G03457	16.66666667	51.62601626	31.70731707
AT1G03475	30.33707865	33.84831461	35.81460674
AT1G03520	16.75126904	44.16243655	39.08629442
AT1G03560	37.66233766	43.50649351	18.83116883
AT1G03590	13.13868613	44.7080292	42.15328467
AT1G03600	22.05462699	36.81206686	41.13330616
AT1G03610	13.80145278	30.99273608	55.20581114
AT1G03630	28.42892768	43.599335	27.97173732
AT1G03680	49.93399962	16.59438054	33.47161984
AT1G03687	29.6875	31.25	39.0625
AT1G03750	22.22222222	42.22222222	35.55555556
AT1G03770	30.1369863	24.65753425	45.20547945
AT1G03790	42.93478261	15.76086957	41.30434783
AT1G03830	25	52.27272727	22.72727273
AT1G03860	43.58523726	27.41652021	28.99824253
AT1G03870	17.76077326	50.66451873	31.57470801
AT1G03900	32.651622	29.68970381	37.65867419
AT1G03910	38.98305085	23.72881356	37.28813559
AT1G03930	11.8692253	7.391613362	80.73916134
AT1G03950	9.097859327	5.657492355	85.24464832
AT1G03960	15.56156969	25.84573748	58.59269283
AT1G03970	25.57651992	27.67295597	46.75052411
AT1G04000	33.78995434	35.92085236	30.2891933
AT1G04010	27.13178295	61.24031008	11.62790698
AT1G04040	49.40828402	28.40236686	22.18934911
AT1G04070	55.48245614	36.84210526	7.675438596
AT1G04080	31.88908146	33.62218371	34.48873484
AT1G04100	57.30994152	17.54385965	25.14619883
AT1G04120	44.90238612	28.19956616	26.89804772
AT1G04130	31.39931741	44.36860068	24.23208191
AT1G04140	30.76923077	35.27851459	33.95225464
AT1G04190	38.85714286	37.14285714	24
AT1G04200	27.5	31.66666667	40.83333333
AT1G04210	24.73604827	52.33785822	22.92609351
AT1G04220	12.13906895	56.09899823	31.76193282
AT1G04240	33.19397993	40.80267559	26.00334448
AT1G04250	55.44554455	28.71287129	15.84158416
AT1G04260	25.3164557	40.82278481	33.86075949
AT1G04270	34.03041825	38.17490494	27.79467681
AT1G04280	38.0794702	51.65562914	10.26490066
AT1G04290	31.91056911	36.99186992	31.09756098
AT1G04300	32.62295082	37.70491803	29.67213115
AT1G04310	24.4	42.8	32.8
AT1G04340	51.4619883	14.03508772	34.50292398
AT1G04400	42.19653179	22.22222222	35.58124599
AT1G04410	25.59689062	36.03553581	38.36757357
AT1G04420	16.54929577	49.29577465	34.15492958
AT1G04430	43.90243902	18.53658537	37.56097561
AT1G04440	16.81415929	65.58505408	17.60078663
AT1G04480	23.35877863	32.21374046	44.42748092
AT1G04510	21.21212121	35.75757576	43.03030303
AT1G04520	40.81632653	24.48979592	34.69387755
